Players,Span,Matches,Innings,Not outs,Runs,High Score,Average,Balls faced,Strike rate,100s,50s,0s,4s,6s
RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
Babar Azam (PAK),2016-2024,123,116,15,4145,122,41.03,3211,129.08,3,36,6,440,72
PR Stirling (IRE),2009-2024,145,144,11,3601,115*,27.07,2675,134.61,1,23,13,418,128
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
Mohammad Rizwan (PAK),2015-2024,102,89,21,3313,104*,48.72,2620,126.45,1,29,4,278,92
DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
JC Buttler (ENG),2011-2024,124,114,23,3264,101*,35.86,2231,146.3,1,24,7,300,137
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
GJ Maxwell (AUS),2012-2024,113,104,17,2600,145*,29.88,1680,154.76,5,11,4,217,134
Q de Kock (SA),2012-2024,92,91,9,2584,100,31.51,1868,138.32,1,16,7,264,103
KS Williamson (NZ),2011-2024,93,90,13,2575,95,33.44,2092,123.08,0,18,4,245,58
Shakib Al Hasan (BAN),2006-2024,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
DA Miller (SA/World),2010-2024,125,109,36,2437,106*,33.38,1734,140.54,2,7,2,160,117
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
SA Yadav (IND),2021-2024,70,67,11,2424,117,43.28,1433,169.15,4,20,3,219,136
Mahmudullah (BAN),2007-2024,138,127,26,2394,64*,23.7,2032,117.81,0,8,5,183,74
A Balbirnie (IRE),2015-2024,110,106,4,2392,83,23.45,1941,123.23,0,12,6,254,68
Virandeep Singh (MAS),2019-2024,78,77,14,2320,116*,36.82,1842,125.95,1,16,5,197,101
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
RD Berrington (SCOT),2008-2024,94,85,17,2194,100,32.26,1658,132.32,1,10,10,185,75
Mohammad Nabi (AFG),2010-2024,129,121,24,2165,89,22.31,1590,136.16,0,6,8,148,108
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
S Ssesazi (UGA),2021-2024,82,80,10,2081,100*,29.72,1689,123.2,1,16,8,225,67
N Pooran (WI),2016-2024,95,87,9,2076,98,26.61,1528,135.86,0,12,2,142,132
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76
Sikandar Raza (ZIM),2013-2024,91,87,5,2037,87,24.84,1528,133.31,0,14,7,153,96
HG Munsey (SCOT),2015-2024,71,69,5,2006,132,31.34,1399,143.38,2,11,5,229,86
Muhammad Waseem (UAE),2021-2024,53,53,3,1977,112,39.54,1278,154.69,3,14,4,160,123
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
Syed Aziz (MAS),2019-2024,80,78,13,1962,126,30.18,1377,142.48,1,15,6,188,93
Litton Das (BAN),2015-2024,89,87,3,1943,83,23.13,1557,124.79,0,11,5,198,57
RR Hendricks (SA),2014-2024,68,67,2,1942,87,29.87,1504,129.12,0,15,4,218,45
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
GD Phillips (NZ),2017-2024,78,69,12,1875,108,32.89,1319,142.15,2,10,3,135,90
MP O'Dowd (NED),2015-2024,70,68,5,1853,133*,29.41,1539,120.4,1,13,0,186,46
Fakhar Zaman (PAK),2017-2024,92,84,3,1848,91,22.81,1390,132.94,0,11,6,172,76
Najibullah Zadran (AFG),2012-2024,107,95,33,1830,73,29.51,1328,137.8,0,8,6,126,97
S Dhawan (IND),2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50
Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
MDKJ Perera (SL),2013-2024,68,67,2,1750,84,26.92,1334,131.18,0,14,3,164,57
CO Obuya (KENYA),2007-2024,75,70,12,1742,96*,30.03,1460,119.31,0,9,6,127,84
C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
SC Williams (ZIM),2006-2024,81,80,8,1691,66,23.48,1338,126.38,0,11,6,161,42
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26,1377,122.73,0,8,10,122,55
BKG Mendis (SL),2016-2024,69,69,2,1684,86,25.13,1250,134.72,0,14,5,145,75
Nizakat Khan (HKG),2014-2024,88,85,2,1679,81,20.22,1384,121.31,0,8,8,152,47
Babar Hayat (HKG),2014-2024,68,67,10,1676,122,29.4,1248,134.29,2,10,7,101,105
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
JM Bairstow (ENG),2011-2024,80,72,16,1671,90,29.83,1215,137.53,0,10,6,148,76
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65
DS Airee (NEP),2018-2024,67,59,14,1658,110*,36.84,1156,143.42,1,9,0,128,69
Rahmanullah Gurbaz (AFG),2019-2024,63,63,0,1657,100,26.3,1223,135.48,1,10,7,125,95
TP Ura (PNG),2015-2024,60,59,8,1634,107*,32.03,1068,152.99,1,14,4,123,95
MS Dhoni (IND),2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52
MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
SK Raina (IND),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
KA Pollard (WI),2008-2022,101,83,21,1569,75*,25.3,1161,135.14,0,6,3,94,99
MR Marsh (AUS),2011-2024,61,59,11,1557,92*,32.43,1165,133.64,0,9,2,131,71
MS Chapman (HKG/NZ),2014-2024,76,68,14,1548,104*,28.66,1167,132.64,1,8,3,133,57
F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50
R Sandaruwan (KUW),2019-2024,54,54,2,1527,103,29.36,1046,145.98,1,9,6,132,88
LMP Simmons (WI),2007-2021,68,67,10,1527,91*,26.78,1264,120.8,0,9,6,140,68
HH Pandya (IND),2016-2024,102,79,22,1523,71*,26.71,1078,141.28,0,4,3,111,79
JJ Roy (ENG),2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69
Mushfiqur Rahim (BAN),2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37
Muhammad Tanveer (QAT),2019-2024,50,46,13,1499,88*,45.42,1086,138.02,0,12,1,108,88
KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
Ahmed Faiz (MAS),2019-2024,73,62,6,1490,105*,26.6,1195,124.68,1,6,4,118,56
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33
E Lewis (WI),2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
MD Shanaka (SL),2015-2024,102,94,20,1456,74*,19.67,1189,122.45,0,5,13,107,72
CR Ervine (ZIM),2010-2024,71,70,4,1449,70,21.95,1370,105.76,0,9,5,143,30
MG Erasmus (NAM),2019-2024,61,59,15,1441,100*,32.75,1182,121.91,1,10,2,111,53
II Selemani (TAN),2021-2024,63,62,4,1426,81,24.58,963,148.07,0,7,6,158,78
AD Mathews (SL),2009-2024,90,73,22,1416,81*,27.76,1175,120.51,0,6,1,92,50
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150,0,4,8,103,73
R Powell (WI),2017-2024,78,67,11,1414,107,25.25,977,144.72,1,6,2,81,95
DP Conway (NZ),2020-2024,50,46,9,1408,99*,38.05,1102,127.76,0,10,1,135,37
Soumya Sarkar (BAN),2015-2024,85,84,4,1408,68,17.6,1147,122.75,0,5,13,142,52
BA King (WI),2019-2024,55,53,5,1395,85*,29.06,1038,134.39,0,10,4,149,60
P Nissanka (SL),2021-2024,53,52,3,1392,79,28.4,1167,119.28,0,11,5,140,32
Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
RR Patel (KENYA),2008-2024,76,64,15,1367,73*,27.89,1007,135.74,0,7,3,99,80
HT Tector (IRE),2019-2024,79,73,13,1356,64*,22.6,1138,119.15,0,5,5,106,33
Zeeshan Maqsood (OMA),2015-2024,69,58,9,1322,102*,26.97,1098,120.4,1,5,4,135,46
LJ Tucker (IRE),2016-2024,74,70,8,1317,94*,21.24,1068,123.31,0,9,7,128,29
J Charles (WI),2011-2024,57,56,0,1302,118,23.25,992,131.25,1,5,7,140,60
DJ Mitchell (NZ),2019-2024,67,63,13,1296,72*,25.92,939,138.01,0,7,2,91,48
TL Seifert (NZ),2018-2024,61,58,7,1291,88,25.31,958,134.75,0,9,5,111,58
JW Jenner (JER),2019-2024,50,50,9,1288,96*,31.41,932,138.19,0,7,4,104,51
HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26
A Vala (PNG),2015-2024,63,60,9,1274,93*,24.98,1093,116.55,0,8,1,116,38
GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20
Riazat Ali Shah (UGA),2019-2024,61,53,14,1261,98*,32.33,1044,120.78,0,4,3,86,56
DJ Bravo (WI),2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55
O Tuyisenge (RWN),2021-2024,77,74,4,1244,100*,17.77,1186,104.89,1,3,11,128,30
AK Markram (SA),2019-2024,48,44,7,1241,70,33.54,864,143.63,0,9,2,112,49
BN Cooper (NED),2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38
CS MacLeod (SCOT),2009-2022,64,61,9,1238,74,23.8,1115,111.03,0,7,8,107,23
MM Ali (ENG),2014-2024,92,75,17,1229,72*,21.18,863,142.41,0,7,9,88,68
IA Karim (KENYA),2013-2023,58,51,16,1227,71*,35.05,1213,101.15,0,8,2,108,15
Aqib Ilyas (OMA),2015-2024,52,51,7,1218,90,27.68,972,125.3,0,9,4,115,42
MH Cross (SCOT),2013-2024,74,62,10,1216,66*,23.38,1045,116.36,0,5,5,114,32
RR Pant (IND),2017-2024,76,66,14,1209,65*,23.25,950,127.26,0,3,4,111,44
VP Thamotharam (MLT),2020-2024,55,53,8,1209,104*,26.86,825,146.54,1,7,2,86,73
NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64
MS Wade (AUS),2011-2024,92,68,22,1202,80,26.13,896,134.15,0,3,1,95,46
R Satheesan (ROM),2019-2023,38,36,5,1197,99*,38.61,770,155.45,0,9,2,121,61
RG Mukasa (UGA),2019-2024,58,56,5,1186,89,23.25,982,120.77,0,5,8,133,36
AR Patwa (TAN),2021-2023,47,47,4,1178,79,27.39,961,122.58,0,6,3,140,37
Yuvraj Singh (IND),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
RP Burl (ZIM),2018-2024,77,70,25,1175,57*,26.11,1005,116.91,0,2,2,76,49
Meet Bhavsar (KUW),2019-2024,48,46,5,1171,89,28.56,875,133.82,0,9,4,100,39
HE van der Dussen (SA),2018-2024,46,42,8,1169,94*,34.38,899,130.03,0,8,1,70,55
S Davizi (CZK-R),2019-2023,31,31,3,1149,115*,41.03,827,138.93,3,6,1,124,40
RK Paudel (NEP),2019-2024,52,50,9,1144,61,27.9,932,122.74,0,6,1,95,34
FH Allen (NZ),2021-2024,47,47,0,1141,137,24.27,719,158.69,2,4,4,99,78
Hazratullah Zazai (AFG),2016-2024,44,44,3,1140,162*,27.8,859,132.71,1,3,3,108,65
W Madhevere (ZIM),2020-2024,65,62,7,1137,73*,20.67,970,117.21,0,7,6,129,15
GH Dockrell (IRE),2010-2024,139,91,34,1129,58*,19.8,868,130.06,0,2,8,81,42
TH David (AUS/SGP),2019-2024,46,41,10,1123,92*,36.22,690,162.75,0,6,3,95,60
Afif Hossain (BAN),2018-2023,69,63,9,1109,77*,20.53,927,119.63,0,3,6,81,38
MP Stoinis (AUS),2015-2024,66,54,18,1109,78,30.8,751,147.66,0,4,2,91,54
K Bhurtel (NEP),2021-2024,46,45,4,1105,104*,26.95,865,127.74,1,8,5,113,47
Ibrahim Zadran (AFG),2019-2024,44,44,6,1105,72*,29.07,1030,107.28,0,8,1,97,24
SS Iyer (IND),2017-2023,51,47,11,1104,74*,30.66,811,136.12,0,8,4,90,44
Jatinder Singh (OMA),2015-2024,52,52,7,1098,73*,24.4,952,115.33,0,5,3,111,21
SPD Smith (AUS),2010-2024,67,55,11,1094,90,24.86,872,125.45,0,5,1,96,26
K Kadowaki-Fleming (JPN),2022-2024,27,27,2,1089,114,43.56,694,156.91,2,6,0,79,67
Taranjeet Singh (ROM),2021-2024,32,32,2,1087,110,36.23,649,167.48,1,7,1,134,52
Aasif Sheikh (NEP),2021-2024,47,47,2,1086,64*,24.13,933,116.39,0,5,3,108,35
WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23
Sami Sohail (MWI),2019-2024,36,32,15,1077,94*,63.35,856,125.81,0,7,3,87,28
GJ Delany (IRE),2019-2024,75,66,14,1076,89*,20.69,802,134.16,0,3,3,85,49
KIC Asalanka (SL),2021-2024,49,49,5,1075,80*,24.43,851,126.32,0,5,5,69,53
LD Chandimal (SL),2010-2022,68,61,7,1062,66*,19.66,1025,103.6,0,6,0,90,22
BA Pai (GIBR),2019-2024,37,37,7,1054,107*,35.13,915,115.19,1,6,2,95,17
V Aravind (UAE),2020-2024,48,43,5,1052,97*,27.68,936,112.39,0,6,4,105,23
Anshuman Rath (HKG),2015-2024,46,45,5,1046,72*,26.15,942,111.04,0,4,1,110,13
Zubaidi Zulkifle (MAS),2019-2024,52,51,2,1045,96,21.32,702,148.86,0,3,7,106,51
AD Russell (WI),2011-2024,82,71,24,1033,71,21.97,631,163.7,0,3,9,63,85
L Bruce (GIBR),2021-2024,40,39,4,1032,99*,29.48,902,114.41,0,12,4,105,15
CJA Amini (PNG),2015-2024,59,51,9,1028,91*,24.47,891,115.37,0,5,6,75,30
E Dusingizimana (RWN),2021-2023,58,57,3,1018,66*,18.85,950,107.15,0,4,5,103,35
Sarfaraz Ali (BHR),2019-2024,47,47,3,1015,69*,23.06,694,146.25,0,6,4,88,75
Samiullah Shinwari (AFG),2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
Faisal Khan (KSA),2019-2024,38,38,5,1012,83*,30.66,607,166.72,0,6,4,119,50
Rohan Mustafa (UAE),2014-2023,58,53,5,1006,77,20.95,827,121.64,0,4,7,108,27
Iftikhar Ahmed (PAK),2016-2024,66,55,14,998,62*,24.34,773,129.1,0,4,2,66,44
K Motlhanka (BOT),2019-2023,39,38,4,990,84,29.11,890,111.23,0,7,2,113,19
Razmal Shigiwal (Aut),2019-2023,39,35,5,990,95*,33,725,136.55,0,6,2,81,39
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21,825,119.63,0,5,7,100,31
CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
ADS Fletcher (WI),2008-2024,57,54,7,980,84*,20.85,873,112.25,0,6,7,67,53
Sabbir Rahman (BAN),2014-2022,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29
RN Patel (KENYA),2019-2024,51,49,10,973,75,24.94,797,122.08,0,3,6,102,22
Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43
S Chandramohan (SGP),2019-2024,41,41,2,968,100,24.82,799,121.15,1,5,4,94,43
S Bau (PNG),2016-2024,56,48,7,958,65*,23.36,876,109.36,0,4,6,74,31
Abdul Waheed (KSA),2020-2024,37,34,5,956,99,32.96,753,126.95,0,5,1,108,24
JDS Neesham (NZ),2012-2024,79,63,21,944,48*,22.47,611,154.5,0,0,6,72,51
AP Rajeevan (TAN),2022-2023,45,42,7,943,70,26.94,829,113.75,0,6,0,90,16
NS Dhaliwal (CAN),2019-2024,33,32,5,941,69*,34.85,724,129.97,0,7,1,74,42
BRM Taylor (ZIM),2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24
G Gambhir (IND),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
SJ Myburgh (NED),2012-2022,45,44,2,915,71*,21.78,799,114.51,0,5,8,100,28
H Klaasen (SA),2018-2024,52,47,9,912,81,24,639,142.72,0,5,1,68,46
TM Head (AUS),2016-2024,33,32,4,911,91,32.53,607,150.08,0,3,1,88,42
Najmul Hossain Shanto (BAN),2019-2024,46,44,5,908,71,23.28,843,107.71,0,4,0,83,17
SO Hetmyer (WI),2018-2023,57,48,4,902,81*,20.5,763,118.21,0,5,3,59,46
Gulbadin Naib (AFG),2012-2024,73,62,17,897,57,19.93,732,122.54,0,3,7,67,44
E Chigumbura (ZIM),2006-2020,57,56,9,893,54*,19,635,140.62,0,3,6,61,53
JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.3,0,5,2,92,16
Muhammad Usman (UAE),2016-2022,47,43,6,891,89*,24.08,778,114.52,0,3,3,73,27
DM Nakrani (UGA),2019-2024,60,50,17,891,77*,27,697,127.83,0,3,3,59,56
Haider Butt (BHR),2021-2024,50,46,11,890,62,25.42,762,116.79,0,2,2,56,38
PD Salt (ENG),2022-2024,31,29,4,885,119,35.4,536,165.11,2,3,2,83,45
G Malla (NEP),2014-2022,45,39,1,883,107,23.23,734,120.29,1,2,1,76,36
N Davin (NAM),2019-2024,34,34,2,881,89,27.53,634,138.95,0,5,1,95,32
Aizaz Khan (HKG),2014-2024,77,67,15,877,48*,16.86,784,111.86,0,0,6,62,26
N Nipiko (VAN),2019-2024,33,33,6,877,100,32.48,744,117.87,1,5,1,67,36
TC Barker (LUX),2019-2024,40,40,1,874,78,22.41,724,120.71,0,4,5,90,19
Saber Zakhil (Belg),2019-2024,43,39,8,873,100*,28.16,539,161.96,1,2,3,46,71
NA Greenwood (JER),2019-2024,31,31,3,865,86*,30.89,599,144.4,0,4,2,91,25
Sohail Ahmed (BHR),2022-2024,28,27,10,857,80*,50.41,722,118.69,0,7,1,59,33
F Damiao Couana (MOZ),2019-2023,33,32,3,851,104,29.34,686,124.05,1,4,1,85,32
C Campher (IRE),2021-2024,56,49,8,849,72*,20.7,675,125.77,0,3,4,68,27
JJ Smit (NAM),2019-2024,51,44,20,848,71,35.33,585,144.95,0,3,1,51,51
DM de Silva (SL),2015-2024,45,44,4,847,66*,21.17,731,115.86,0,3,2,71,18
KS Leverock (BER),2019-2023,29,29,4,842,103,33.68,566,148.76,1,4,4,70,48
Kamran Khan (QAT),2019-2024,36,34,1,841,88,25.48,618,136.08,0,5,1,75,49
HL Carlyon (JER),2019-2024,39,38,1,839,110,22.67,689,121.77,1,3,3,92,25
KH Prajapati (OMA),2021-2024,44,43,5,828,74*,21.78,764,108.37,0,6,4,80,26
H Lakov (BUL),2019-2022,35,34,8,825,80,31.73,784,105.22,0,6,0,67,6
Sarfaraz Ahmed (PAK),2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15
Chirag Suri (UAE),2018-2022,31,31,3,817,88,29.17,708,115.39,0,7,2,84,18
B Arora (MLT),2019-2024,52,48,8,816,66*,20.4,897,90.96,0,3,2,74,20
SR Taylor (USA),2019-2024,30,27,3,816,101*,34,603,135.32,1,4,2,89,35
Mohammad Naim (BAN),2019-2022,35,35,1,815,81,23.97,788,103.42,0,4,2,76,17
Shaheryar Butt (Belg),2019-2024,38,36,8,815,125*,29.1,585,139.31,1,2,2,57,54
Faheem Nazir (SUI),2022-2024,18,18,3,813,113,54.2,537,151.39,2,6,1,89,27
W Barresi (NED),2012-2024,46,44,7,812,75*,21.94,706,115.01,0,4,4,71,21
Zeeshan Khan (MLT),2020-2024,38,37,1,811,115,22.52,661,122.69,1,3,3,94,21
SA Edwards (NED),2018-2024,64,56,15,808,42*,19.7,676,119.52,0,0,2,73,15
Kushal Malla (NEP),2019-2024,42,38,9,808,137*,27.86,513,157.5,1,4,3,44,61
RB Patel (UGA),2021-2024,42,39,8,805,68*,25.96,779,103.33,0,4,3,96,8
CG Williams (NAM),2019-2022,35,33,4,805,81,27.75,713,112.9,0,6,3,69,23
V Saini (ROM),2020-2024,40,36,10,804,91*,30.92,624,128.84,0,4,3,61,25
A Johnson (CAN),2022-2024,19,19,2,802,121*,47.17,501,160.07,2,6,1,78,52
P Khadka (NEP),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
K Nassoro (TAN),2021-2024,60,53,11,797,60,18.97,819,97.31,0,2,3,73,12
AA Obanda (KENYA),2007-2023,51,47,4,797,103*,18.53,670,118.95,1,1,6,100,25
Ishan Kishan (IND),2021-2023,32,32,1,796,89,25.67,640,124.37,0,6,1,79,36
IA De Silva (BUL),2020-2022,35,34,2,795,100*,24.84,690,115.21,1,4,3,72,37
D Ndikubwimana (RWN),2021-2024,64,58,5,790,69,14.9,1017,77.67,0,4,3,66,11
V Vijh (LUX),2019-2024,42,42,6,789,64*,21.91,750,105.2,0,2,3,56,25
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26
Usman Ghani (AFG),2015-2023,35,34,3,786,73,25.35,733,107.23,0,4,0,76,21
G Mckeon (Fran),2022-2024,20,20,1,785,109,41.31,534,147,2,4,1,66,41
S Muniandy (MAS),2019-2024,75,62,18,776,60*,17.63,637,121.82,0,1,5,58,27
DMW Rawlins (BER),2019-2023,28,27,5,776,91,35.27,515,150.67,0,6,1,58,50
L Siaka (PNG),2015-2024,62,55,5,773,55,15.46,681,113.5,0,1,8,59,23
RR Rossouw (SA),2014-2023,29,27,5,767,109,34.86,480,159.79,2,3,5,69,39
KR Mayers (WI),2020-2024,38,37,2,762,73,21.77,551,138.29,0,3,1,68,51
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137,0,4,9,68,31
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34
