Players,Span,Matches,Innings,Not outs,Runs,High Score,Average,Balls faced,Strike rate,100s,50s,0s,4s,6s
HAM Shah (DEN),2019-2024,28,27,1,754,99,29,669,112.7,0,6,2,67,18
Imran Anwar (BHR),2019-2024,55,41,5,748,87,20.77,560,133.57,0,4,5,47,53
S Wickramasekara (CZK-R),2019-2023,34,33,6,748,104*,27.7,499,149.89,1,6,3,55,46
Manpreet Singh (SGP),2019-2023,34,33,3,744,71,24.8,593,125.46,0,3,2,45,26
MD Gunathilaka (SL),2016-2022,46,45,0,741,57,16.46,615,120.48,0,3,4,78,21
K Waiswa (UGA),2020-2024,72,56,10,729,66*,15.84,683,106.73,0,1,6,70,19
LA Dunbar (SRB),2019-2024,27,26,6,726,117,36.3,532,136.46,2,3,3,58,49
Usman Patel (KUW),2020-2024,41,39,7,725,75*,22.65,590,122.88,0,5,4,72,24
MEK Hussey (AUS),2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25
Muhammad Muneeb (Belg),2020-2024,32,32,2,717,73,23.9,607,118.12,0,4,5,70,26
SJ Baard (NAM),2019-2022,28,28,3,714,92,28.56,632,112.97,0,5,1,61,18
MR Adair (IRE),2019-2024,86,61,13,713,72,14.85,566,125.97,0,1,5,51,33
YBK Jaiswal (IND),2023-2024,22,21,2,713,100,37.52,431,165.42,1,5,2,80,38
MWR Stokes (GUE),2019-2024,33,30,7,712,63*,30.95,621,114.65,0,2,1,56,18
RS Bopara (ENG),2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17
J Mees (LUX),2019-2024,40,39,7,709,85,22.15,600,118.16,0,3,4,67,22
MK Pandey (IND),2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19
HC Brook (ENG),2022-2024,39,32,9,707,81*,30.73,484,146.07,0,3,0,57,30
R Bakum (GHA),2019-2024,42,41,4,706,71,19.08,609,115.92,0,4,4,48,33
KD Shah (HKG),2014-2023,49,45,8,706,79,19.08,660,106.96,0,3,7,55,17
CK Kapugedera (SL),2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25
R Nehonde (BOT),2019-2023,39,36,5,701,63,22.61,732,95.76,0,2,2,56,12
MA Leask (SCOT),2013-2024,64,51,7,699,58,15.88,533,131.14,0,1,4,49,35
CJ Anderson (NZ/USA),2012-2024,42,34,6,697,94*,24.89,553,126.03,0,3,3,40,35
BFW de Leede (NED),2018-2024,38,35,10,697,91*,27.88,671,103.87,0,4,4,52,18
Naseem Khushi (OMA),2017-2024,51,39,3,696,69,19.33,442,157.46,0,3,4,46,50
N Vanua (PNG),2015-2024,58,47,10,696,71,18.81,510,136.47,0,3,9,32,47
JP Kotze (NAM),2019-2024,40,36,4,695,101*,21.71,599,116.02,1,1,4,62,34
S Adedeji (NGA),2019-2024,43,40,6,692,68,20.35,801,86.39,0,3,3,56,16
LS Livingstone (ENG),2017-2024,48,37,8,691,103,23.82,464,148.92,1,1,2,35,45
KD Karthik (ICC/IND),2006-2022,60,48,22,686,55,26.38,481,142.61,0,1,3,71,28
RW Chakabva (ZIM),2008-2022,49,49,2,682,48,14.51,557,122.44,0,0,11,59,27
SI Runsewe (NGA),2019-2024,40,39,6,681,80,20.63,628,108.43,0,4,2,68,7
Basil Hameed (UAE),2020-2024,57,48,13,680,51,19.42,567,119.92,0,2,2,34,34
Shadab Khan (PAK),2017-2024,104,52,14,679,52,17.86,486,139.71,0,1,6,44,34
L Yamamoto-Lake (JPN),2022-2024,29,29,3,679,134*,26.11,460,147.6,1,4,4,68,31
JN Frylinck (NAM),2019-2024,61,42,12,678,57*,22.6,636,106.6,0,1,2,45,15
PBB Rajapaksa (SL),2019-2023,37,33,5,678,77,24.21,507,133.72,0,3,3,57,30
MJ Santner (NZ),2015-2024,104,70,29,675,77*,16.46,552,122.28,0,1,5,51,23
PW Hasaranga (SL),2019-2024,70,60,13,672,71,14.29,511,131.5,0,2,8,66,16
T Bavuma (SA),2019-2023,36,35,4,670,72,21.61,567,118.16,0,1,6,62,16
KC D'Souza (BUL),2020-2022,36,33,9,669,92*,27.87,432,154.86,0,2,3,43,44
O Manishimwe (RWN),2022-2024,56,48,6,668,79*,15.9,723,92.39,0,4,7,61,9
CJ Chibhabha (ZIM),2006-2020,36,35,0,667,67,19.05,609,109.52,0,5,4,78,13
JH Kallis (SA),2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20
TLW Cooper (NED),2012-2022,33,32,4,659,81*,23.53,509,129.46,0,3,3,62,22
SKS Gill (LUX),2022-2024,29,29,2,657,64,24.33,650,101.07,0,2,4,57,12
Luqman Butt (CAM),2023-2024,22,22,4,656,80*,36.44,473,138.68,0,3,1,62,32
A Ashokan (CZK-R),2019-2023,31,30,6,655,55*,27.29,580,112.93,0,3,0,31,26
I Liyanage (QAT),2020-2024,32,29,4,655,60,26.2,574,114.11,0,3,3,73,16
C Rubagumya (RWN),2021-2024,66,58,10,654,40,13.62,755,86.62,0,0,8,40,10
W Niyitanga (RWN),2021-2023,54,53,4,646,55*,13.18,769,84,0,2,7,40,20
DJM Short (AUS),2018-2020,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15
PW Borren (NED),2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18
J Butler (GUE),2019-2024,30,28,2,638,87,24.53,616,103.57,0,3,1,56,14
Karim Janat (AFG),2016-2024,66,47,8,637,56*,16.33,547,116.45,0,3,4,44,28
D Ramdin (WI),2006-2019,71,50,16,636,55*,18.7,551,115.42,0,1,3,51,19
RD Gaikwad (IND),2021-2024,23,20,4,633,123*,39.56,441,143.53,1,4,1,65,24
ST Jayasuriya (SL),2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23
SSM Stanislaus (MLT),2020-2024,40,35,4,627,62,20.22,607,103.29,0,1,1,43,23
Khawar Ali (OMA),2015-2022,41,35,3,626,72*,19.56,635,98.58,0,2,2,67,15
S Ravichandran (JPN),2022-2024,26,25,3,624,86*,28.36,442,141.17,0,4,1,62,18
D Wiese (NAM/SA),2013-2024,54,40,14,624,66*,24,488,127.86,0,3,3,35,30
MR Swart (NED),2012-2016,26,25,2,621,89,27,537,115.64,0,4,1,53,16
H Singh (GER),2019-2024,36,32,6,619,70,23.8,487,127.1,0,3,1,60,14
NR Kumar (CAN/USA),2012-2024,28,25,4,617,83,29.38,482,128,0,4,1,45,22
SD Hope (WI),2017-2024,31,29,3,616,82*,23.69,463,133.04,0,3,3,50,30
MN Waller (ZIM),2011-2018,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28
J Bulele (MOZ),2019-2022,27,27,2,612,62*,24.48,654,93.57,0,4,2,79,2
Umar Adam (MDV),2019-2024,38,37,1,610,56,16.94,478,127.61,0,4,4,51,30
Towhid Hridoy (BAN),2023-2024,29,26,4,607,58,27.59,464,130.81,0,2,1,41,26
Yasir Ali (ESP),2019-2024,29,28,6,605,80*,27.5,593,102.02,0,3,3,40,23
NG Collins (FIN),2019-2023,24,24,1,604,79,26.26,612,98.69,0,4,0,52,8
O Harvey (GHA),2021-2024,37,34,4,604,107*,20.13,593,101.85,1,1,3,47,16
Ayaan Khan (OMA),2021-2024,39,35,5,598,53*,19.93,543,110.12,0,1,1,38,18
Basil George (MLT),2021-2024,29,29,1,597,93*,21.32,481,124.11,0,3,1,42,31
Noor Ali Zadran (AFG),2010-2023,23,23,1,597,63,27.13,586,101.87,0,4,1,55,9
Salman Butt (PAK),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
KJ Stagno (GIBR),2022-2024,23,22,1,593,101,28.23,338,175.44,1,3,2,35,51
PM Seelaar (NED),2008-2021,77,46,12,591,96*,17.38,532,111.09,0,1,1,43,12
Ravinderpal Singh (CAN),2019-2024,30,25,3,589,101,26.77,402,146.51,1,1,2,43,31
DJG Sammy (WI/World),2007-2017,68,52,18,587,42*,17.26,398,147.48,0,0,3,45,31
TS Bharaj (DEN),2019-2024,28,27,2,586,63*,23.44,504,116.26,0,5,1,46,13
BA Stokes (ENG),2011-2022,43,36,9,585,52*,21.66,457,128,0,1,1,42,22
PD Collingwood (ENG/World),2005-2017,36,33,2,583,79,18.8,459,127.01,0,3,3,37,24
AR Ramjani (UGA),2022-2024,43,31,5,582,78,22.38,455,127.91,0,2,3,42,24
DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31
MNM Aslam (KUW),2019-2024,50,32,5,578,55,21.4,516,112.01,0,3,3,52,14
Saim Hussain (BUL),2022-2023,18,17,2,578,108*,38.53,394,146.7,1,4,1,51,26
SB Styris (NZ),2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25
Asif Ali (PAK),2018-2023,58,51,13,577,41*,15.18,431,133.87,0,0,4,27,37
V Ganesan (GER),2019-2024,47,40,9,577,61*,18.61,546,105.67,0,2,1,60,1
VB Chikkannaiah (GER),2019-2023,27,27,2,575,81*,23,571,100.7,0,4,1,47,14
J Rasu (VAN),2019-2024,33,32,4,574,74,20.5,529,108.5,0,2,3,40,21
B Ward (JER),2019-2024,40,32,9,573,58*,24.91,437,131.12,0,1,1,33,31
JA Morkel (SA),2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39
A Sharafu (UAE),2020-2024,27,24,6,566,90*,31.44,427,132.55,0,3,1,54,23
Janak Prakash (SGP),2019-2023,40,38,10,563,56,20.1,451,124.83,0,1,2,34,24
AM Tribe (JER),2021-2024,25,23,2,560,73*,26.66,448,125,0,4,1,53,18
SA Ahmad (DEN),2019-2023,29,25,4,556,66,26.47,512,108.59,0,3,0,52,11
Imad Wasim (PAK),2015-2024,75,50,15,554,64*,15.82,426,130.04,0,1,6,55,12
MJ Lumb (ENG),2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21
SO Ngoche (KENYA),2010-2024,93,58,19,550,41*,14.1,496,110.88,0,0,7,44,18
P Mishra (BUL),2019-2024,46,42,3,547,55,14.02,431,126.91,0,3,4,36,43
Aaron Jones (USA),2019-2024,32,30,9,546,94*,26,489,111.65,0,2,1,31,27
S Singh (KENYA),2021-2024,42,34,7,545,54*,20.18,508,107.28,0,1,2,64,3
Asif Khan (UAE),2023-2024,24,24,5,544,74*,28.63,392,138.77,0,3,2,34,34
HS Gericke (MLT),2020-2022,21,20,0,541,91,27.05,330,163.93,0,4,0,46,22
Shubman Gill (IND),2023-2024,20,20,2,539,126*,29.94,378,142.59,1,3,1,57,22
Karim Sadiq (AFG),2010-2018,36,36,0,538,72,14.94,493,109.12,0,1,4,61,10
NM Odhiambo (KENYA),2010-2024,64,41,7,538,67,15.82,514,104.66,0,2,6,43,13
Yasim Murtaza (HKG),2022-2024,36,32,3,535,58,18.44,441,121.31,0,2,1,45,21
V Balakrishnan (BOT),2019-2023,29,27,4,534,100,23.21,521,102.49,1,2,0,44,18
RN ten Doeschate (NED),2008-2021,24,23,10,533,59,41,401,132.91,0,3,2,27,19
Iqbal Hossain (Aut),2021-2023,25,21,0,532,71,25.33,328,162.19,0,3,3,49,38
Talha Khan (GER),2019-2023,28,28,5,532,69*,23.13,514,103.5,0,3,4,43,12
D Kansonkho (MWI),2019-2024,36,32,3,528,54,18.2,597,88.44,0,1,3,55,4
PR Surve (INA),2022-2024,20,19,4,527,71*,35.13,450,117.11,0,3,0,44,16
C Kieswetter (ENG),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
Mohammed Rizlan (QAT),2019-2022,33,27,8,526,72*,27.68,450,116.88,0,3,2,30,31
Raza Iqbal (NOR),2019-2024,31,31,3,524,64*,18.71,445,117.75,0,4,4,65,10
Imran Ali Butt (BHR),2019-2024,25,23,1,522,62,23.72,526,99.23,0,4,4,42,17
Zeeshan Kukikhel (HUN),2021-2023,15,15,0,522,137,34.8,316,165.18,1,3,0,61,27
J Barker (LUX),2019-2024,36,31,9,519,48,23.59,530,97.92,0,0,2,41,3
F Behardien (SA),2012-2018,38,30,14,518,64*,32.37,404,128.21,0,1,1,37,16
M van Lingen (NAM),2021-2024,30,27,0,518,67,19.18,447,115.88,0,2,2,61,14
FA Cossa (MOZ),2019-2023,32,27,9,516,68,28.66,418,123.44,0,3,4,48,27
TWM Latham (NZ),2012-2023,26,23,3,516,65*,25.8,474,108.86,0,3,1,42,8
T Manders (BER),2021-2023,17,17,2,516,84,34.4,413,124.93,0,4,0,48,21
RA Jadeja (IND),2009-2024,74,41,17,515,46*,21.45,405,127.16,0,0,3,39,14
MJ Richardson (GER),2019-2023,25,24,7,511,61*,30.05,492,103.86,0,2,0,47,5
V Sibanda (ZIM),2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11
Aritra Dutta (SGP),2019-2024,21,21,0,509,122,24.23,367,138.69,1,2,1,49,27
LM Jongwe (ZIM),2015-2024,65,48,15,509,35,15.42,419,121.47,0,0,4,45,15
SKA Awiah (GHA),2021-2023,35,29,2,507,96*,18.77,535,94.76,0,2,4,48,10
MD Patel (USA),2019-2024,27,24,2,507,68,23.04,391,129.66,0,3,1,59,15
C de Grandhomme (NZ),2012-2021,41,39,7,505,59,15.78,365,138.35,0,3,6,27,30
Haider Ali (PAK),2020-2023,35,32,3,505,68,17.41,405,124.69,0,3,3,43,22
Mohamed Rishwan (MDV),2019-2023,30,29,1,505,67,18.03,521,96.92,0,3,2,43,22
Nawroz Mangal (AFG),2010-2017,32,32,4,505,65*,18.03,453,111.47,0,2,4,42,19
A Mansale (VAN),2019-2024,28,27,4,502,61*,21.82,437,114.87,0,3,5,28,19
Azyan Farhath (MDV),2019-2024,26,26,3,501,66*,21.78,625,80.16,0,1,0,43,5
Imran Nazir (PAK),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
Adnan Idrees (KUW),2019-2024,28,28,0,499,80,17.82,351,142.16,0,3,5,58,23
MO Kitunda (TAN),2021-2024,50,41,2,499,46,12.79,542,92.06,0,0,4,40,16
S Periyalwar (ROM),2019-2024,34,29,10,497,105*,26.15,458,108.51,1,2,3,49,10
JK Vifah (GHA),2019-2024,31,31,3,496,63*,17.71,448,110.71,0,3,1,44,12
TP Visee (NED),2015-2021,31,31,0,496,78,16,339,146.31,0,3,5,68,17
M Coetzee (HKG),2023-2024,20,20,0,494,102,24.7,356,138.76,1,3,2,67,12
Shafiqullah (AFG),2010-2019,46,42,12,494,51*,16.46,340,145.29,0,1,5,35,31
M Simpson-Parker (Aut),2019-2024,37,30,2,494,65*,17.64,488,101.22,0,3,4,42,10
Aarif Sheikh (NEP),2018-2024,38,30,6,493,39*,20.54,452,109.07,0,0,2,47,10
Dylan Steyn (CZK-R),2022-2023,16,16,0,493,106,30.81,372,132.52,1,2,0,58,8
JO Holder (WI),2014-2024,63,44,14,491,38,16.36,380,129.21,0,0,7,30,27
RE van der Merwe (NED/SA),2009-2024,57,38,16,490,75*,22.27,381,128.6,0,2,7,38,14
Mohammad Nadeem (OMA),2015-2024,53,36,9,489,77*,18.11,437,111.89,0,1,1,31,16
Ahmer Bin (BHR),2022-2024,31,26,7,488,55*,25.68,415,117.59,0,2,0,42,8
MJ Clarke (AUS),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
G Burrows (IOM),2020-2024,21,20,5,484,69*,32.26,432,112.03,0,4,2,39,10
A Dizija (SRB),2022-2024,23,22,0,484,92,22,442,109.5,0,4,2,44,17
M Akayezu (RWN),2021-2024,74,61,7,482,51,8.92,453,106.4,0,1,8,32,25
Saqlain Arshad (QAT),2019-2024,20,19,1,481,76,26.72,362,132.87,0,3,2,60,15
N Dickwella (SL),2016-2021,28,27,1,480,68,18.46,366,131.14,0,1,2,61,9
IO Okpe (NGA),2019-2024,48,39,4,480,53,13.71,473,101.47,0,1,2,17,16
SW Billings (ENG/ICC),2015-2022,37,33,5,478,87,17.07,368,129.89,0,2,1,41,16
K Irakoze (RWN),2021-2024,75,56,9,478,60,10.17,450,106.22,0,1,13,33,20
Bilal Zalmai (Aut),2019-2024,14,13,3,477,111*,47.7,271,176.01,1,2,0,46,29
Mohammad Nawaz (3) (PAK),2016-2024,60,38,12,477,45*,18.34,355,134.36,0,0,4,38,24
IDA Damarell (GUE),2020-2024,22,22,3,474,52,24.94,411,115.32,0,2,1,50,10
JDP Oram (NZ),2005-2012,36,30,7,474,66*,20.6,339,139.82,0,2,3,38,22
GJ Bailey (AUS/World),2012-2017,30,26,7,473,63,24.89,346,136.7,0,2,1,37,20
JP Inglis (AUS),2022-2024,21,21,3,470,110,26.11,309,152.1,1,0,1,46,18
E Sebareme (RWN),2021-2024,65,54,14,468,34,11.7,493,94.92,0,0,5,33,11
S Thakor (TAN),2021-2024,53,42,9,468,44,14.18,325,144,0,0,6,44,25
Azhar Andani (PORT),2021-2024,15,15,1,467,100,33.35,395,118.22,1,2,0,48,7
NJ O'Brien (IRE),2008-2016,30,28,2,466,50,17.92,475,98.1,0,1,0,40,7
CN Ackermann (NED),2019-2022,22,22,4,465,62,25.83,402,115.67,0,1,2,34,11
Najjam Shahzad (PORT),2019-2024,27,24,6,464,53*,25.77,338,137.27,0,1,3,31,31
JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23
AR Patel (IND),2015-2024,62,37,14,463,65,20.13,321,144.23,0,1,2,32,23
R Pathan (CAN),2021-2022,11,11,2,463,107*,51.44,287,161.32,1,3,1,48,21
JM Vince (ENG),2015-2022,17,17,0,463,59,27.23,361,128.25,0,2,0,47,14
PK Matautaava (VAN),2019-2024,28,28,2,462,103,17.76,363,127.27,1,1,6,31,26
M Campopiano (ITA),2022-2024,19,17,5,461,87*,38.41,372,123.92,0,3,1,38,14
ND Laegsgaard (DEN),2019-2024,25,24,3,461,91,21.95,319,144.51,0,2,4,43,24
Rashid Khan (AFG/ICC),2015-2024,93,56,23,460,48*,13.93,359,128.13,0,0,7,31,28
JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18
B Niaz (Belg),2021-2024,26,22,3,452,72*,23.78,368,122.82,0,2,4,28,28
Saud Islam (UGA),2021-2021,20,19,2,452,75,26.58,426,106.1,0,3,4,43,9
Mohammad Ashraful (BAN),2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11
TW Nightingale (GUE),2020-2024,25,23,2,449,73,21.38,379,118.46,0,2,1,32,16
Rameez Shahzad (UAE),2016-2019,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13
Muhammad Amir (MAS),2019-2024,42,32,2,447,80,14.9,422,105.92,0,2,4,40,13
Anamul Haque (BAN),2012-2022,20,20,2,445,58,24.72,395,112.65,0,1,1,46,14
Nurul Hasan (BAN),2016-2022,46,41,14,445,42*,16.48,376,118.35,0,0,4,27,16
SA Jumbe (TAN),2021-2024,56,42,11,444,76*,14.32,414,107.24,0,1,5,33,20
IDM Latin (GIBR),2022-2024,23,23,2,444,89,21.14,371,119.67,0,2,2,31,20
SV Samson (IND),2015-2024,29,25,3,444,77,20.18,334,132.93,0,2,3,34,19
Mirza Ahsan (Aut),2019-2023,30,27,6,443,70*,21.09,271,163.46,0,4,1,31,25
E Niyomugabo (RWN),2021-2023,48,45,3,442,61,10.52,444,99.54,0,2,6,26,15
Younis Khan (PAK),2006-2010,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12
CJ Jordan (ENG),2014-2024,95,57,25,439,36,13.71,340,129.11,0,0,3,31,21
B Masaba (UGA),2019-2024,63,39,13,439,37*,16.88,429,102.33,0,0,3,44,8
D Doyle-Calle (ESP),2022-2024,21,20,3,438,50,25.76,349,125.5,0,1,0,37,19
SR Bhudia (KENYA),2019-2024,38,28,4,437,50*,18.2,377,115.91,0,1,2,40,10
ZE Green (NAM),2019-2024,59,40,8,436,42*,13.62,428,101.86,0,0,4,37,8
S Dube (IND),2019-2024,32,23,9,435,63*,31.07,318,136.79,0,3,1,27,24
Karan KC (NEP),2015-2024,70,39,12,434,45,16.07,287,151.21,0,0,2,20,36
Umer Toor (BHR),2022-2024,27,27,1,433,72,16.65,374,115.77,0,2,4,31,27
Hisham Shaikh (KSA),2021-2024,34,25,7,430,47*,23.88,451,95.34,0,0,1,26,3
Faisal Mubashir (GER),2021-2024,23,20,7,428,57*,32.92,421,101.66,0,1,2,33,6
Bilal Tahir (KUW),2019-2024,36,32,9,422,40*,18.34,325,129.84,0,0,4,30,25
S Nadigotla (ROM),2019-2024,35,28,1,422,55,15.62,372,113.44,0,1,1,36,13
G Kansonkho (MWI),2019-2024,34,26,4,421,52,19.13,516,81.58,0,1,1,41,1
OJ Hairs (SCOT),2019-2024,25,25,3,420,127*,19.09,243,172.83,1,1,5,38,30
N Mugabe (KENYA),2023-2024,21,20,4,420,71,26.25,360,116.66,0,3,3,36,15
AP Yadav (THAI),2023-2024,17,17,5,420,79*,35,333,126.12,0,2,1,51,8
PL Mommsen (SCOT),2012-2016,24,19,7,419,68*,34.91,329,127.35,0,2,1,32,11
Usman Khan (Fran),2021-2024,22,20,4,419,63*,26.18,352,119.03,0,3,2,43,9
S Ivetic (SRB),2022-2024,14,14,4,417,65*,41.7,423,98.58,0,3,0,30,13
RK Singh (IND),2023-2024,22,16,10,417,69*,69.5,238,175.21,0,2,1,33,26
AC Douglas (BER),2019-2023,21,19,1,416,74,23.11,293,141.97,0,2,1,39,26
Kuldeep (PORT),2022-2023,14,14,1,416,80,32,257,161.86,0,3,0,39,25
T Marumani (ZIM),2021-2024,31,31,1,413,50,13.76,393,105.08,0,1,4,37,14
GA Priandana (INA),2022-2024,25,24,2,413,65*,18.77,409,100.97,0,2,2,39,17
Zeeshan Ali (HKG),2022-2024,33,25,8,409,55*,24.05,322,127.01,0,1,2,37,12
Aziz Mohammad (Belg),2019-2024,19,19,1,408,72,22.66,290,140.68,0,3,2,37,27
M Taylor (Bhm),2021-2023,15,15,0,408,67,27.2,363,112.39,0,3,1,36,22
MW Machan (SCOT),2013-2016,13,13,3,407,67*,40.7,318,127.98,0,3,0,37,7
WU Tharanga (SL),2006-2018,26,26,1,407,47,16.28,330,123.33,0,0,3,42,12
Sharjeel Khan (PAK),2013-2021,21,18,0,406,59,22.55,305,133.11,0,2,0,53,15
B Bhandari (NEP),2014-2024,40,31,7,405,58*,16.87,353,114.73,0,2,1,32,16
DM Bravo (WI),2010-2022,26,22,3,405,43*,21.31,379,106.86,0,0,3,32,14
EC Joyce (ENG/IRE),2006-2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5
J Bangura (SLE),2021-2023,33,29,2,404,46,14.96,565,71.5,0,0,5,29,3
L Lamin (SLE),2021-2023,32,29,7,404,38,18.36,444,90.99,0,0,4,24,18
T Stubbs (SA),2022-2024,26,21,5,404,72,25.25,317,127.44,0,1,3,30,18
BJ Haddin (AUS),2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13
RT Ponting (AUS),2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11
HH Gibbs (SA),2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12
Azmatullah Omarzai (AFG),2022-2024,44,34,4,399,33,13.3,355,112.39,0,0,4,27,15
M Levitt (NED),2024-2024,13,12,0,399,135,33.25,268,148.88,1,2,1,38,22
Adil Butt (SWZ),2022-2024,15,15,0,397,64,26.46,290,136.89,0,3,1,48,10
Aqib Iqbal (Aut),2019-2024,43,28,8,396,60,19.8,350,113.14,0,2,2,32,11
A McAuley (IOM),2020-2024,23,22,1,395,50,18.8,433,91.22,0,1,2,32,2
Shan Masood (PAK),2022-2022,19,17,4,395,65*,30.38,324,121.91,0,3,2,30,7
A Ferguson (Arg),2019-2023,19,16,4,394,86*,32.83,409,96.33,0,3,1,42,4
Hussain Talat (PAK),2018-2021,18,18,2,394,63,24.62,333,118.31,0,2,1,37,5
DK Mathias (BHR),2022-2022,16,16,4,394,61,32.83,365,107.94,0,2,0,25,21
V Sehwag (IND),2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq (PAK),2006-2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21
